Time_min,CO2_Adsorbed_kg,CO2_Adsorbed_Upper_10pct_kg,CO2_Adsorbed_Lower_10pct_kg,CO2_Released_at_85C_kg,CaCO3_Produced_kg,Total_Thermal_Energy_kJ
11.666666666666666,0.3146435843008589,0.34610794273094486,0.28317922587077304,0.12627035304638265,0.2871710892163699,561.7214563403465
12.444444444444445,0.330851246338439,0.36393637097228293,0.2977661217045951,0.1327746878227905,0.3019636106381073,578.2937079125143
13.222222222222223,0.3465624329961518,0.381218676295767,0.3119061896965366,0.13907978090280726,0.31630300546607537,594.3583159469854
14.0,0.36179235237756247,0.39797158761531876,0.32561311713980623,0.14519173548605988,0.3302031539377353,609.9308306519044
14.777777777777779,0.37655574672947156,0.41421132140241873,0.3389001720565244,0.15111646781810714,0.34367751110916483,625.0263258992552
15.555555555555555,0.3908669067121053,0.42995359738331584,0.35178021604089477,0.1568597129172429,0.35673911987927387,639.6594138160585
16.333333333333332,0.40473968523217857,0.44521365375539645,0.36426571670896074,0.16242703012587523,0.3694006236150614,653.844258928608
17.11111111111111,0.4181875108522225,0.46000626193744476,0.37636875976700024,0.16782380849185477,0.3816742783901328,667.5945918734382
17.88888888888889,0.43122340078915433,0.4743457408680698,0.3881010607102389,0.17305527198496143,0.39357196484832513,680.923722688297
18.666666666666668,0.44385997351467477,0.4882459708661423,0.3994739761632073,0.17812648455359922,0.40510519970392517,693.8445536959864
19.444444444444446,0.45610946096968696,0.5017204070666557,0.41049851487271827,0.18304235502659333,0.4162851468896098,706.3695919935449
20.22222222222222,0.4679837204045624,0.5147820924450186,0.42118534836410615,0.18780764186483498,0.4271226283629024,718.5109615588572
21.0,0.479494245856714,0.5274436704423855,0.4315448212710426,0.19242695776737312,0.43762813458160355,730.2804149864152
21.77777777777778,0.49065217927658616,0.5397173972042448,0.44158696134892755,0.19690477413641147,0.44781183465833724,741.6893448635851
22.555555555555557,0.5014683213128325,0.5516151534441158,0.45132148918154924,0.20124542540553356,0.4576835862040412,752.7487947983972
23.333333333333332,0.5119531417671203,0.5631484559438323,0.46075782759040823,0.2054531132353446,0.46725294486993046,763.4694701095299
24.11111111111111,0.5221167897286811,0.5743284687015493,0.46990511075581304,0.20953191058059192,0.47652917359716984,773.8617481888355
24.88888888888889,0.5319691033984206,0.5851660137382627,0.4787721930585786,0.21348576563270114,0.48552125158320963,783.9356885464424
25.666666666666668,0.5415196196120917,0.5956715815733009,0.4873676576508826,0.21731850564154345,0.4942378829734625,793.7010425481511
26.444444444444446,0.5507775830717558,0.6058553413789315,0.49569982476458024,0.22103384062013468,0.5026875052867367,803.167262854556
27.22222222222222,0.5597519552944619,0.615727150823908,0.5037767597650157,0.22463536693585065,0.5108782975825787,812.3435125710243
28.0,0.5684514232868104,0.6252965656154915,0.5116062809581294,0.22812657079163687,0.5188181883784352,821.2386741173931
28.77777777777778,0.5768844079537954,0.634572848749175,0.5191959671584159,0.23151083160058042,0.5265148633242921,829.8613578259666
29.555555555555557,0.5850590722500663,0.643564979475073,0.5265531650250597,0.23479142525711208,0.5339757726422255,838.2199102761414
30.333333333333332,0.5929833290814992,0.6522816619896492,0.5336849961733493,0.23797152730800433,0.541208138338063,846.3224223737211
31.11111111111111,0.6006648489647265,0.6607313338611992,0.5405983640682539,0.241054216026235,0.548218961192135,854.1767371827469
31.88888888888889,0.6081110674520376,0.6689221741972414,0.5472999607068338,0.24404247539069174,0.5550150275358858,861.7904575174208
32.666666666666664,0.6153291923288395,0.6768621115617235,0.5537962730959556,0.24693919797460165,0.5616029158209016,869.170953301472
33.44444444444444,0.6223262105906449,0.6845588316497094,0.5600935895315804,0.24974718774548263,0.5679890029867156,876.3253687020909
